Date,Building,CropType,GridID,X,Y,GridFert_Flax,numPlantsInGrid,FieldFert_Flax,FieldSowPerc,FieldGrowthPerc,FieldYield
24Sep0045,SMBuildingMaster,Flax,213493,501,208,0.5647,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213494,502,208,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213495,503,208,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213496,504,208,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213497,505,208,0.5686,3,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213498,506,208,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213499,507,208,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213500,508,208,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213501,509,208,0.5804,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,213502,510,208,0.5804,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214517,501,209,0.5647,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214518,502,209,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214519,503,209,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214520,504,209,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214521,505,209,0.5686,3,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214522,506,209,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214523,507,209,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214524,508,209,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214525,509,209,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,214526,510,209,0.5804,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216565,501,211,0.5647,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216566,502,211,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216567,503,211,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216568,504,211,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216569,505,211,0.5686,3,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216570,506,211,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216571,507,211,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216572,508,211,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216573,509,211,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,216574,510,211,0.5804,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218613,501,213,0.5647,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218614,502,213,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218615,503,213,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218616,504,213,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218617,505,213,0.5686,3,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218618,506,213,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218619,507,213,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218620,508,213,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218621,509,213,0.5765,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,218622,510,213,0.5765,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220661,501,215,0.5647,2,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220662,502,215,0.5647,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220663,503,215,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220664,504,215,0.5686,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220665,505,215,0.5686,3,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220666,506,215,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220667,507,215,0.5725,1,0.5707,0,0,
24Sep0045,SMBuildingMaster,Flax,220668,508,215,0.5725,1,0.5707,0,0,
